Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2 All Feature - Positive,,,,14-02-2024 00:07:54,14-02-2024 00:14:07,6m - 12.609s,PASSED
,,,,,,,
Test Cases/1 Positive Test Case/3 Search Item - Data Driven,,,,14-02-2024 00:07:55,14-02-2024 00:08:53,58.516s,PASSED
"startApplication(""E:\BFLP IT Batch 9\9. Bootcamp\3. Final Project Mobile\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 00:07:55,14-02-2024 00:08:27,31.401s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView""), 0)",,,,14-02-2024 00:08:27,14-02-2024 00:08:28,1.371s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.LinearLayout""), 0)",,,,14-02-2024 00:08:28,14-02-2024 00:08:29,1.143s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText""), ""yudhatesting"", 0)",,,,14-02-2024 00:08:29,14-02-2024 00:08:32,3.080s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText (1)""), ""Dharmayudha1"", 0)",,,,14-02-2024 00:08:32,14-02-2024 00:08:34,2.004s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.Button - LOGIN""), 0)",,,,14-02-2024 00:08:34,14-02-2024 00:08:35,0.683s,PASSED
hideKeyboard(),,,,14-02-2024 00:08:35,14-02-2024 00:08:37,2.036s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText - Search""), search, 0)",,,,14-02-2024 00:08:37,14-02-2024 00:08:40,3.054s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView (1)""), 0)",,,,14-02-2024 00:08:40,14-02-2024 00:08:41,0.748s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView (2)""), 0)",,,,14-02-2024 00:08:41,14-02-2024 00:08:43,2.629s,PASSED
delay(5),,,,14-02-2024 00:08:43,14-02-2024 00:08:48,5.050s,PASSED
closeApplication(),,,,14-02-2024 00:08:48,14-02-2024 00:08:51,2.590s,PASSED
Video,,,,14-02-2024 00:08:53,14-02-2024 00:08:53,0.001s,PASSED
,,,,,,,
Test Cases/1 Positive Test Case/3 Search Item - Data Driven,,,,14-02-2024 00:08:53,14-02-2024 00:09:38,44.505s,PASSED
"startApplication(""E:\BFLP IT Batch 9\9. Bootcamp\3. Final Project Mobile\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 00:08:53,14-02-2024 00:09:10,17.316s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.ImageView""), 0)",,,,14-02-2024 00:09:10,14-02-2024 00:09:13,2.159s,PASSED
"tap(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.LinearLayout""), 0)",,,,14-02-2024 00:09:13,14-02-2024 00:09:14,1.168s,PASSED
"setText(findTestObject(""Object Repository/2 Login dan Checkout/android.widget.EditText""), ""yudhatesting"", 0)",,,,14-02-2024 00:09:14,14-02-2024 00:09:17,2.983s,PASSED
